iter	Passed	Remaining
0	154	154021
1	154	77312
2	155	51764
3	156	38962
4	157	31271
5	157	26117
6	158	22436
7	158	19672
8	159	17538
9	160	15846
10	160	14454
11	161	13308
12	162	12321
13	162	11471
14	163	10734
15	164	10091
16	164	9522
17	165	9013
18	165	8568
19	166	8155
20	166	7784
21	167	7446
22	168	7141
23	168	6863
24	169	6599
25	169	6363
26	170	6136
27	170	5929
28	171	5740
29	172	5574
30	172	5403
31	173	5248
32	174	5102
33	174	4964
34	175	4833
35	175	4710
36	176	4593
37	177	4481
38	177	4380
39	178	4282
40	178	4185
41	179	4097
42	180	4011
43	180	3928
44	181	3851
45	182	3777
46	182	3704
47	183	3638
48	183	3570
49	184	3510
50	185	3451
51	186	3397
52	187	3342
53	187	3289
54	188	3240
55	189	3192
56	190	3143
57	190	3096
58	191	3055
59	192	3012
60	192	2968
61	193	2928
62	194	2890
63	194	2850
64	195	2813
65	196	2775
66	196	2738
67	197	2704
68	197	2671
69	198	2639
70	199	2606
71	199	2575
72	200	2544
73	200	2512
74	201	2483
75	201	2454
76	202	2426
77	202	2398
78	203	2374
79	204	2351
80	205	2326
81	205	2301
82	206	2277
83	206	2254
84	207	2230
85	207	2208
86	208	2187
87	209	2166
88	209	2147
89	210	2129
90	210	2107
91	211	2086
92	211	2067
93	212	2047
94	212	2028
95	213	2010
96	214	1993
97	214	1976
98	215	1959
99	215	1943
100	216	1926
101	217	1910
102	217	1894
103	218	1881
104	219	1866
105	219	1851
106	220	1837
107	220	1822
108	221	1808
109	221	1794
110	222	1781
111	223	1770
112	224	1759
113	224	1746
114	225	1735
115	226	1722
116	226	1711
117	227	1700
118	227	1687
119	228	1676
120	229	1664
121	230	1655
122	230	1644
123	231	1633
124	231	1622
125	232	1612
126	233	1602
127	233	1592
128	234	1582
129	235	1573
130	235	1563
131	236	1554
132	236	1544
133	237	1534
134	237	1524
135	238	1516
136	239	1508
137	239	1498
138	240	1489
139	240	1479
140	241	1471
141	242	1463
142	242	1455
143	243	1449
144	244	1441
145	245	1433
146	245	1426
147	246	1419
148	247	1410
149	247	1403
150	248	1396
151	249	1389
152	249	1382
153	250	1375
154	250	1367
155	251	1360
156	251	1352
157	252	1346
158	253	1338
159	253	1331
160	254	1324
161	254	1317
162	255	1312
163	256	1306
164	256	1299
165	257	1292
166	257	1285
167	258	1280
168	259	1274
169	259	1267
170	260	1261
171	260	1255
172	261	1249
173	262	1244
174	262	1238
175	263	1232
176	263	1226
177	264	1221
178	265	1215
179	265	1209
180	266	1204
181	266	1198
182	267	1193
183	267	1187
184	268	1182
185	269	1177
186	269	1172
187	270	1166
188	270	1161
189	271	1155
190	271	1151
191	272	1145
192	272	1140
193	273	1136
194	274	1131
195	274	1127
196	275	1122
197	276	1118
198	276	1113
199	277	1108
200	277	1104
201	278	1099
202	278	1094
203	279	1090
204	279	1085
205	280	1081
206	281	1077
207	281	1073
208	282	1069
209	283	1064
210	283	1060
211	284	1056
212	284	1052
213	285	1048
214	285	1043
215	286	1039
216	286	1035
217	287	1031
218	288	1027
219	288	1023
220	289	1019
221	289	1015
222	290	1012
223	291	1008
224	291	1004
225	292	1000
226	292	996
227	293	992
228	293	989
229	294	985
230	295	982
231	295	978
232	296	974
233	296	970
234	297	967
235	297	963
236	298	960
237	298	956
238	299	952
239	299	949
240	300	946
241	301	943
242	301	940
243	302	936
244	302	933
245	303	930
246	304	926
247	304	923
248	305	920
249	305	917
250	306	914
251	306	911
252	307	908
253	308	904
254	308	901
255	309	898
256	309	895
257	310	892
258	311	889
259	311	887
260	312	884
261	312	880
262	313	877
263	313	874
264	314	872
265	314	869
266	315	866
267	316	863
268	316	860
269	317	858
270	317	855
271	318	852
272	319	849
273	319	846
274	320	844
275	321	842
276	321	839
277	322	837
278	323	834
279	323	832
280	324	829
281	324	826
282	325	823
283	325	821
284	326	818
285	326	816
286	327	813
287	327	810
288	328	807
289	328	805
290	329	802
291	330	800
292	330	797
293	331	794
294	331	792
295	332	790
296	333	788
297	333	786
298	334	783
299	334	781
300	335	779
301	336	777
302	336	774
303	337	772
304	338	770
305	338	768
306	339	766
307	340	765
308	341	762
309	341	760
310	343	761
311	343	758
312	344	755
313	345	753
314	345	752
315	346	750
316	347	748
317	348	746
318	348	744
319	350	743
320	350	741
321	351	739
322	351	737
323	352	735
324	353	734
325	354	732
326	354	730
327	355	727
328	355	725
329	356	723
330	357	722
331	357	719
332	358	718
333	359	716
334	359	713
335	360	711
336	360	709
337	361	707
338	362	705
339	362	703
340	363	701
341	363	699
342	364	698
343	365	696
344	365	694
345	366	692
346	366	690
347	367	688
348	367	686
349	368	684
350	368	682
351	369	680
352	370	678
353	370	676
354	371	674
355	372	673
356	372	671
357	373	669
358	373	667
359	374	665
360	375	663
361	375	661
362	376	659
363	376	658
364	377	656
365	377	654
366	378	653
367	379	651
368	379	649
369	380	648
370	381	646
371	381	644
372	382	642
373	382	640
374	383	638
375	384	637
376	384	635
377	385	633
378	385	631
379	386	630
380	386	628
381	387	626
382	388	625
383	388	623
384	388	621
385	389	619
386	390	617
387	390	616
388	391	614
389	391	612
390	392	610
391	392	609
392	393	607
393	393	605
394	394	604
395	394	602
396	395	600
397	395	598
398	396	597
399	397	595
400	397	593
401	398	592
402	398	590
403	399	588
404	399	587
405	400	585
406	400	584
407	401	582
408	402	580
409	402	579
410	403	577
411	403	576
412	404	574
413	404	573
414	405	571
415	405	569
416	406	568
417	406	566
418	407	564
419	407	563
420	408	561
421	409	560
422	409	558
423	410	557
424	410	555
425	411	554
426	411	552
427	412	550
428	412	549
429	413	547
430	413	546
431	414	544
432	414	543
433	415	541
434	416	540
435	416	538
436	417	537
437	417	535
438	418	534
439	418	532
440	419	531
441	419	530
442	420	528
443	421	527
444	421	525
445	422	524
446	422	522
447	423	521
448	423	520
449	424	518
450	424	517
451	425	515
452	425	514
453	426	512
454	427	511
455	427	510
456	428	508
457	428	507
458	429	506
459	429	504
460	430	503
461	430	501
462	431	500
463	431	498
464	432	497
465	432	496
466	433	494
467	434	493
468	434	492
469	435	490
470	435	489
471	436	487
472	436	486
473	437	485
474	437	483
475	438	482
476	439	481
477	439	480
478	440	478
479	440	477
480	441	476
481	441	474
482	442	473
483	443	472
484	443	471
485	444	470
486	444	468
487	445	467
488	446	466
489	446	464
490	447	463
491	447	462
492	448	461
493	448	459
494	449	458
495	450	457
496	450	456
497	451	454
498	451	453
499	452	452
500	452	451
501	453	450
502	454	448
503	454	447
504	455	446
505	456	445
506	456	444
507	457	442
508	457	441
509	458	440
510	458	438
511	459	437
512	459	436
513	460	435
514	460	434
515	461	432
516	462	431
517	462	430
518	463	429
519	463	428
520	464	426
521	464	425
522	465	424
523	465	423
524	466	422
525	467	420
526	467	419
527	468	418
528	468	417
529	469	416
530	469	415
531	470	413
532	471	412
533	471	411
534	473	411
535	474	410
536	474	409
537	475	408
538	475	406
539	476	405
540	476	404
541	477	403
542	478	402
543	478	401
544	479	400
545	479	398
546	480	397
547	481	396
548	481	395
549	482	394
550	482	393
551	483	392
552	483	390
553	484	389
554	484	388
555	485	387
556	485	386
557	486	385
558	486	383
559	487	382
560	487	381
561	488	380
562	488	379
563	489	378
564	489	377
565	490	376
566	490	374
567	491	373
568	492	372
569	492	371
570	492	370
571	493	369
572	494	368
573	494	367
574	495	366
575	495	364
576	496	363
577	496	362
578	497	361
579	497	360
580	498	359
581	498	358
582	499	357
583	499	356
584	500	354
585	500	353
586	501	352
587	501	351
588	502	350
589	503	349
590	503	348
591	504	347
592	504	346
593	505	345
594	505	344
595	506	343
596	506	342
597	507	341
598	507	340
599	508	338
600	509	337
601	509	336
602	510	335
603	510	334
604	511	333
605	511	332
606	512	331
607	512	330
608	513	329
609	514	328
610	514	327
611	515	326
612	515	325
613	516	324
614	516	323
615	517	322
616	517	321
617	518	320
618	519	319
619	519	318
620	520	317
621	521	316
622	521	315
623	522	314
624	522	313
625	523	312
626	523	311
627	524	310
628	524	309
629	525	308
630	525	307
631	526	306
632	526	305
633	527	304
634	527	303
635	528	302
636	529	301
637	529	300
638	530	299
639	530	298
640	531	297
641	531	296
642	532	295
643	533	294
644	533	293
645	534	292
646	534	291
647	535	290
648	535	289
649	536	288
650	536	287
651	537	286
652	538	285
653	538	284
654	539	283
655	539	283
656	540	282
657	540	281
658	541	280
659	542	279
660	542	278
661	543	277
662	543	276
663	544	275
664	545	274
665	545	273
666	546	272
667	547	271
668	549	271
669	550	270
670	550	270
671	551	269
672	551	268
673	552	267
674	552	266
675	553	265
676	553	264
677	556	264
678	556	263
679	557	262
680	557	261
681	558	260
682	559	259
683	559	258
684	560	257
685	560	256
686	561	255
687	561	254
688	562	253
689	562	252
690	563	251
691	563	250
692	564	249
693	564	249
694	565	248
695	566	247
696	566	246
697	567	245
698	567	244
699	568	243
700	568	242
701	569	241
702	569	240
703	570	239
704	571	238
705	571	238
706	572	237
707	573	236
708	573	235
709	574	234
710	574	233
711	575	232
712	575	231
713	576	230
714	577	230
715	577	229
716	578	228
717	578	227
718	579	226
719	580	225
720	580	224
721	581	223
722	581	222
723	582	222
724	582	221
725	583	220
726	584	219
727	584	218
728	585	217
729	585	216
730	586	215
731	587	214
732	587	214
733	588	213
734	588	212
735	589	211
736	589	210
737	590	209
738	590	208
739	591	207
740	591	206
741	592	206
742	593	205
743	593	204
744	594	203
745	595	202
746	595	201
747	596	200
748	596	199
749	597	199
750	597	198
751	598	197
752	599	196
753	599	195
754	600	194
755	601	194
756	601	193
757	602	192
758	602	191
759	603	190
760	603	189
761	604	188
762	605	187
763	605	187
764	606	186
765	606	185
766	607	184
767	607	183
768	608	182
